Year,Fund,Department/Office ,Fund Center,Remarks 
2024,GC21001,Military Secretary to Governor Gilgit-Ba,GL1745,
2024,GC21001,Secretary To Governor Gilgit-Baltistan,GL1742,
2024,GC21002,Chief Minister Reforms Unit,GL1770,
2024,GC21002,Secretary To Chief Minister GB,GL1781,
2024,GC21003,Director General Chairman's Inspection Team Gilgit,GL1660,
2024,GC21004,Election Commissioner  Gilgit,GL1517,
2024,GC21005,Secretary Cabinet Gilgit,GL1516,
2024,GC21006,Secretary Gilgit Baltistan Legislative Assembly,GL1515,
2024,GC21007,Deputy Secretary Regulation Wing (Services) Gilgit,GL1647,
2024,GC21007,Deputy Secretary Services/Regulation,GL1524,
2024,GC21007,Gilgit-Baltistan House Islamabad,GL1800,
2024,GC21007,Performance Management and Reforms Unit (PMRU) Gilgit,GL1562,
2024,GC21007,Secretary Services & GAD Gilgit,GL1501,
2024,GC21008,Additional Deputy Commissioner  Diamer,DM1060,
2024,GC21008,Additional Deputy Commissioner  Skardu,SD1003,
2024,GC21008,Additional Deputy Commissioner Gilgit,GL1001,
2024,GC21008,AIG Police CID GB  Gilgit,GL1612,
2024,GC21008,AIG Police Special Branch GB,GL1608,
2024,GC21008,Anti Terrorism Court No.1,GL1867,
2024,GC21008,Anti Terrorism Court No.2,GL1865,
2024,GC21008,Assistant Commissioner     Punial - Ishk,GZ1002,
2024,GC21008,Assistant Commissioner     Skardu,SD1005,
2024,GC21008,Assistant Commissioner Chorbat,GN1006,
2024,GC21008,Assistant Commissioner Dagoni,GN1004,
2024,GC21008,Assistant Commissioner Danyore,GL1543,
2024,GC21008,Assistant Commissioner Darel,DM1002,
2024,GC21008,Assistant Commissioner Gamba,SD1017,
2024,GC21008,Assistant Commissioner Gojal Hunza,HN1055,
2024,GC21008,Assistant Commissioner Gupis,GZ1003,
2024,GC21008,Assistant Commissioner Hunza,HN1001,
2024,GC21008,Assistant Commissioner Juglote,GL1544,
2024,GC21008,Assistant Commissioner Khaplu,GN1002,
2024,GC21008,Assistant Commissioner Kharmang,RG1081,
2024,GC21008,Assistant Commissioner Mashabrum,GN1003,
2024,GC21008,Assistant Commissioner Nagar,NG1082,
2024,GC21008,Assistant Commissioner Roundu,SD1110,
2024,GC21008,Assistant Commissioner Shigar,SS1081,
2024,GC21008,Assistant Commissioner Tangir,DM1003,
2024,GC21008,Assistant Commissioner Yasin Ghizer,GZ1004,
2024,GC21008,Assistant Commissioner Astore,AT1002,
2024,GC21008,Assistant Commissioner Chilas,DM1022,
2024,GC21008,Assistant Commissioner Gilgit,GL1521,
2024,GC21008,Assistant Commissioner Shounter,AT1003,
2024,GC21008,Central Police Office GB Gilgit,GL1605,
